공연장명칭,도로명주소,지번주소,위도,경도,공연장전화번호,영업상태,공공 공연장,무대면적,객석수,구동식 기구수,고정식 기구수
공연예술소극장 용,"전라북도 전주시 완산구 전주객사5길 67, 3층 (고사동)",전라북도 전주시 완산구 고사동 213-3,35.82108202,127.1446175,063-286-4207,영업중,N,78.01,60,60,0
국립무형유산원 대공연장,전라북도 전주시 완산구 서학로 95 (동서학동),전라북도 전주시 완산구 동서학동 896-1,35.80986195,127.1596492,063-280-1400,영업중,Y,828,400,59,0
국립무형유산원 소공연장,전라북도 전주시 완산구 서학로 95 (동서학동),전라북도 전주시 완산구 동서학동 896-1,35.80986195,127.1596492,063-280-1424,영업중,Y,193,200,21,0
김영오 아트센터,"전라북도 전주시 완산구 홍산북로 23-9, 플러스라이프 5층 501호 (효자동2가)",전라북도 전주시 완산구 효자동2가 1230-3,35.81814799,127.1042953,063-227-8287,영업중,N,276.95,190,0,0
더 클래식 아트홀,"전라북도 전주시 완산구 백제대로 299, 지하1층 (중화산동2가)",전라북도 전주시 완산구 중화산동2가 579,35.81994129,127.1224707,,영업중,N,18,80,0,0
덕진예술회관,전라북도 전주시 덕진구 권삼득로 407 (덕진동2가),전라북도 전주시 덕진구 덕진동2가 190-1,35.84775174,127.119375,063-281-6650,영업중,Y,163,486,29,0
문화공간이룸,"전라북도 전주시 완산구 용머리로 36, 서도프라자 10층 1006호 (효자동1가)",전라북도 전주시 완산구 효자동1가 454-1,35.80551485,127.1144693,063-223-5323,영업중,N,33.05,130,0,2
숨소리문화공간 중산 아트홀,"전라북도 전주시 완산구 유연로 338, 2층 (중화산동2가)",전라북도 전주시 완산구 중화산동2가 686-5,35.82500555,127.1220395,063-222-8771,영업중,N,24,54,1,0
아하아트홀,"전라북도 전주시 완산구 전주객사4길 74-11, 지하 (고사동)",전라북도 전주시 완산구 고사동 238,35.82127972,127.1435223,063-274-7114,영업중,N,38,60,0,3
우진문화공간 예술극장,전라북도 전주시 덕진구 전주천동로 376 (진북동),전라북도 전주시 덕진구 진북동 1062-3,35.8275192,127.1304111,063-272-7223,영업중,N,119.7,164,4,4
울림문화공간,"전라북도 전주시 완산구 영경1길 17, 2동 B층 102호 (중화산동2가, 우성근영타운 상가)",전라북도 전주시 완산구 중화산동2가 256,35.81831783,127.1248588,,영업중,N,34.65,100,0,0
움티 공연장,"전라북도 전주시 완산구 백마산길 6, 지하층 (효자동3가)",전라북도 전주시 완산구 효자동3가 1167-1,35.81819852,127.0923198,,영업중,N,18,50,0,0
전라북도어린이창의체험관,전라북도 전주시 덕진구 조경단로 258-18 (송천동1가),전라북도 전주시 덕진구 송천동1가 234-5,35.85554178,127.1282525,063-270-6660,영업중,Y,88.45,242,14,1
전라북도예술회관,전라북도 전주시 완산구 팔달로 161 (경원동1가),전라북도 전주시 완산구 경원동1가 104-5,35.81682307,127.1471092,063-286-2678,영업중,Y,194.76,357,12,0
전북대삼성문화회관,전라북도 전주시 덕진구 권삼득로 290 (금암동),전라북도 전주시 덕진구 금암동 665,35.84327452,127.1300175,063-270-2240,영업중,Y,960,1493,63,0
전주소리문화관,"전라북도 전주시 완산구 한지길 56, 소리문화관 (풍남동3가)",전라북도 전주시 완산구 풍남동3가 32-3,35.81779629,127.1532807,063-231-0775,영업중,Y,56.25,200,0,24
창작 소극장,"전라북도 전주시 완산구 동문길 100 (경원동1가,(지하))",전라북도 전주시 완산구 경원동1가 12-4,35.81813082,127.1485548,063-282-1810,영업중,N,49.5,90,0,3
한국소리문화전당,전라북도 전주시 덕진구 소리로 31 (덕진동1가),전라북도 전주시 덕진구 덕진동1가 산 1-1,35.85477195,127.1393284,063-270-8000,영업중,Y,334.1,7000,5,0
한국소리문화전당명인홀,전라북도 전주시 덕진구 소리로 31 (덕진동1가),전라북도 전주시 덕진구 덕진동1가 산 1-1,35.85477195,127.1393284,063-270-7800,영업중,Y,146,202,27,0
한국소리문화전당모악당,전라북도 전주시 덕진구 소리로 31 (덕진동1가),전라북도 전주시 덕진구 덕진동1가 산 1-1,35.85477195,127.1393284,063-270-7800,영업중,Y,1930,2037,120,0
한국소리문화전당연지홀,전라북도 전주시 덕진구 소리로 31 (덕진동1가),전라북도 전주시 덕진구 덕진동1가 산 1-1,35.85477195,127.1393284,063-270-7800,영업중,Y,760,666,70,0
한국전통문화전당 공연장,전라북도 전주시 완산구 현무1길 20 (경원동3가),전라북도 전주시 완산구 경원동3가 14-2,35.8205657,127.1482307,063-232-2556,영업중,Y,223.47,228,21,4
한벽공연장,전라북도 전주시 완산구 전주천동로 20 (교동),전라북도 전주시 완산구 교동 7-1,35.81224642,127.1590306,063-280-7051,영업중,Y,196,235,13,2
한옥마을 아트홀,전라북도 전주시 완산구 경기전길 42 (경원동2가),전라북도 전주시 완산구 경원동2가 61-1,35.81757891,127.1502802,,영업중,N,22.7,60,20,1
한해랑아트홀,"전라북도 전주시 완산구 홍산중앙로 13, 301호 (효자동2가)",전라북도 전주시 완산구 효자동2가 1155-10,35.81486959,127.1087402,,영업중,N,67,199,0,24
